country_name,country_code,gdp
Aruba,ABW,25630.26649
Afghanistan,AFG,520.8966027
Angola,AGO,3432.385736
Albania,ALB,5268.848504
Andorra,AND,42029.76274
Arab World,ARB,6608.806978
United Arab Emirates,ARE,43004.95336
Argentina,ARG,11683.94962
Armenia,ARM,4212.070943
American Samoa,ASM,11466.69071
Antigua and Barbuda,ATG,16726.98081
Australia,AUS,57373.68668
Austria,AUT,51461.95478
Azerbaijan,AZE,4721.178087
Burundi,BDI,271.7520444
Belgium,BEL,47518.63604
Benin,BEN,901.5438712
Burkina Faso,BFA,715.122904
Bangladesh,BGD,1698.262802
Bulgaria,BGR,9272.629304
Bahrain,BHR,24050.75751
"Bahamas, The",BHS,32217.87159
Bosnia and Herzegovina,BIH,6065.672708
Belarus,BLR,6289.938553
Belize,BLZ,4884.742421
Bermuda,BMU,
Bolivia,BOL,3548.59014
Brazil,BRA,8920.762105
Barbados,BRB,17949.28151
Brunei Darussalam,BRN,31628.32879
Bhutan,BTN,3243.231125
Botswana,BWA,8258.641666
Central African Republic,CAF,475.7212505
Canada,CAN,46232.98962
Central Europe and the Baltics,CEB,15929.00406
Switzerland,CHE,82796.54716
Channel Islands,CHI,
Chile,CHL,15923.35874
China,CHN,9770.847088
Cote d'Ivoire,CIV,1715.531332
Cameroon,CMR,1533.74214
"Congo, Dem. Rep.",COD,561.7771824
"Congo, Rep.",COG,2147.769461
Colombia,COL,6667.7907
Comoros,COM,1415.263622
Cabo Verde,CPV,3635.40685
Costa Rica,CRI,12027.36588
Caribbean small states,CSS,9991.016149
Cuba,CUB,8821.818891
Curacao,CUW,19567.89244
Cayman Islands,CYM,81124.51348
Cyprus,CYP,28689.69858
Czech Republic,CZE,23078.57349
Germany,DEU,47603.02763
Djibouti,DJI,3082.543099
Dominica,DMA,7691.345097
Denmark,DNK,61350.34791
Dominican Republic,DOM,8050.631602
Algeria,DZA,4114.715061
East Asia & Pacific (excluding high income),EAP,7822.854804
Early-demographic dividend,EAR,3582.134676
East Asia & Pacific,EAS,11142.59123
Europe & Central Asia (excluding high income),ECA,8163.517105
Europe & Central Asia,ECS,25107.27442
Ecuador,ECU,6344.871979
"Egypt, Arab Rep.",EGY,2549.132252
Euro area,EMU,39927.61759
Eritrea,ERI,
Spain,ESP,30370.89233
Estonia,EST,23266.34627
Ethiopia,ETH,772.3135303
European Union,EUU,35616.08669
Fragile and conflict affected situations,FCS,1633.16564
Finland,FIN,50152.34014
Fiji,FJI,6266.967965
France,FRA,41463.64402
Faroe Islands,FRO,55822.91472
"Micronesia, Fed. Sts.",FSM,3568.290829
Gabon,GAB,7952.525893
United Kingdom,GBR,42943.90227
Georgia,GEO,4717.143026
Ghana,GHA,2202.312164
Gibraltar,GIB,
Guinea,GIN,878.5996133
"Gambia, The",GMB,716.118489
Guinea-Bissau,GNB,777.9699218
Equatorial Guinea,GNQ,10261.76001
Greece,GRC,20324.25356
Grenada,GRD,10640.49676
Greenland,GRL,48181.87419
Guatemala,GTM,4549.010081
Guam,GUM,35712.56214
Guyana,GUY,4979.002188
High income,HIC,44786.57966
"Hong Kong SAR, China",HKG,48675.61646
Honduras,HND,2500.113213
Heavily indebted poor countries (HIPC),HPC,934.6137458
Croatia,HRV,14909.69319
Haiti,HTI,868.3420247
Hungary,HUN,16161.98051
IBRD only,IBD,6385.461626
IDA & IBRD total,IBT,5098.619628
IDA total,IDA,1359.233735
IDA blend,IDB,1787.9152
Indonesia,IDN,3893.596078
IDA only,IDX,1139.611854
Isle of Man,IMN,80989.17221
India,IND,2009.978857
Not classified,INX,
Ireland,IRL,78806.432
"Iran, Islamic Rep.",IRN,5627.749268
Iraq,IRQ,5834.166211
Iceland,ISL,73191.11632
Israel,ISR,41715.02928
Italy,ITA,34483.204
Jamaica,JAM,5354.236859
Jordan,JOR,4241.788782
Japan,JPN,39289.95843
Kazakhstan,KAZ,9812.601137
Kenya,KEN,1710.510097
Kyrgyz Republic,KGZ,1281.363661
Cambodia,KHM,1510.324871
Kiribati,KIR,1625.2861
St. Kitts and Nevis,KNA,19275.41851
"Korea, Rep.",KOR,31362.75147
Kuwait,KWT,33994.40657
Latin America & Caribbean (excluding high income),LAC,8546.019022
Lao PDR,LAO,2542.486528
Lebanon,LBN,8269.787676
Liberia,LBR,677.3221785
Libya,LBY,7241.704481
St. Lucia,LCA,10566.04975
Latin America & Caribbean,LCN,9044.215879
Least developed countries: UN classification,LDC,1054.451499
Low income,LIC,833.8758761
Liechtenstein,LIE,165028.245
Sri Lanka,LKA,4102.48135
Lower middle income,LMC,2217.093928
Low & middle income,LMY,4971.242208
Lesotho,LSO,1299.153126
Late-demographic dividend,LTE,9692.652769
Lithuania,LTU,19153.40899
Luxembourg,LUX,116639.888
Latvia,LVA,17860.6172
"Macao SAR, China",MAC,87208.53591
St. Martin (French part),MAF,
Morocco,MAR,3222.200634
Monaco,MCO,185741.28
Moldova,MDA,3227.312192
Madagascar,MDG,527.501285
Maldives,MDV,10330.61561
Middle East & North Africa,MEA,8042.849465
Mexico,MEX,9673.443674
Marshall Islands,MHL,3788.163594
Middle income,MIC,5485.573815
North Macedonia,MKD,6083.718948
Mali,MLI,899.6599081
Malta,MLT,30098.28331
Myanmar,MMR,1325.952924
Middle East & North Africa (excluding high income),MNA,3823.217947
Montenegro,MNE,8844.236985
Mongolia,MNG,4121.732435
Northern Mariana Islands,MNP,23258.67586
Mozambique,MOZ,498.9572202
Mauritania,MRT,1188.834588
Mauritius,MUS,11238.69039
Malawi,MWI,389.3980332
Malaysia,MYS,11373.233
North America,NAC,61117.04837
Namibia,NAM,5931.453886
New Caledonia,NCL,
Niger,NER,413.980305
Nigeria,NGA,2028.18197
Nicaragua,NIC,2028.894755
Netherlands,NLD,53024.05921
Norway,NOR,81697.24598
Nepal,NPL,1033.912431
Nauru,NRU,9888.893597
New Zealand,NZL,41945.33167
OECD members,OED,40410.45473
Oman,OMN,16415.15728
Other small states,OSS,14704.83293
Pakistan,PAK,1482.403063
Panama,PAN,15575.07255
Peru,PER,6941.235848
Philippines,PHL,3102.713363
Palau,PLW,15859.43486
Papua New Guinea,PNG,2730.274799
Poland,POL,15420.91116
Pre-demographic dividend,PRE,1437.28937
Puerto Rico,PRI,31651.34815
"Korea, Dem. Peopleâ€™s Rep.",PRK,
Portugal,PRT,23407.90659
Paraguay,PRY,5821.814323
West Bank and Gaza,PSE,3198.866644
Pacific island small states,PSS,4224.52989
Post-demographic dividend,PST,45126.49778
French Polynesia,PYF,
Qatar,QAT,68793.78444
Romania,ROU,12301.1864
Russian Federation,RUS,11288.87845
Rwanda,RWA,772.9444599
South Asia,SAS,1902.802629
Saudi Arabia,SAU,23338.96346
Sudan,SDN,977.2736357
Senegal,SEN,1521.953554
Singapore,SGP,64581.94402
Solomon Islands,SLB,2137.690695
Sierra Leone,SLE,533.9911843
El Salvador,SLV,4058.252439
San Marino,SMR,48494.55141
Somalia,SOM,314.5441657
Serbia,SRB,7246.731656
Sub-Saharan Africa (excluding high income),SSA,1584.438234
South Sudan,SSD,
Sub-Saharan Africa,SSF,1585.772148
Small states,SST,13213.6131
Sao Tome and Principe,STP,2001.140902
Suriname,SUR,6234.044922
Slovak Republic,SVK,19442.70576
Slovenia,SVN,26123.97387
Sweden,SWE,54608.36025
Eswatini,SWZ,4145.974112
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,16433.93529
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,27142.2278
Chad,TCD,728.3432354
East Asia & Pacific (IDA & IBRD countries),TEA,7905.035148
Europe & Central Asia (IDA & IBRD countries),TEC,8822.869232
Togo,TGO,679.2570836
Thailand,THA,7273.563207
Tajikistan,TJK,826.6215305
Turkmenistan,TKM,6966.635411
Latin America & the Caribbean (IDA & IBRD countries),TLA,8887.511363
Timor-Leste,TLS,2035.533908
Middle East & North Africa (IDA & IBRD countries),TMN,3829.434226
Tonga,TON,4364.015561
South Asia (IDA & IBRD),TSA,1902.802629
Sub-Saharan Africa (IDA & IBRD countries),TSS,1585.772148
Trinidad and Tobago,TTO,17129.91309
Tunisia,TUN,3447.50791
Turkey,TUR,9370.176344
Tuvalu,TUV,3700.710677
Tanzania,TZA,1060.994615
Uganda,UGA,642.7767443
Ukraine,UKR,3095.173581
Upper middle income,UMC,9205.37874
Uruguay,URY,17277.97011
United States,USA,62794.58565
Uzbekistan,UZB,1532.371677
St. Vincent and the Grenadines,VCT,7361.400962
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,35938.02439
Vietnam,VNM,2566.59695
Vanuatu,VUT,3123.893396
World,WLD,11312.5551
Samoa,WSM,4183.407935
Kosovo,XKX,4302.276483
"Yemen, Rep.",YEM,944.4084994
South Africa,ZAF,6374.028196
Zambia,ZMB,1539.900158
Zimbabwe,ZWE,2146.996385